45;Embark Trucks;SF Bay Area;Transportation;274;Post-IPO;United States
46;Lendi;Sydney;Real Estate;145;Unknown;Australia
47;UserTesting;SF Bay Area;Marketing;109;Acquired;United States
48;Airbnb;SF Bay Area;Hospitality;6447;Post-IPO;United States
49;Atlassian;Sydney;Tech;548;Post-IPO;Australia
50;SiriusXM;New York City;Media;524;Post-IPO;United States
51;UpGrad;Mumbai;Education;170;Unknown;India
52;Loft;Sao Paulo;Real Estate;391;Unknown;Brazil
53;Embark Trucks;SF Bay Area;Transportation;282;Post-IPO;United States
54;Lendi;Sydney;Real Estate;153;Unknown;Australia
55;UserTesting;SF Bay Area;Marketing;117;Acquired;United States
56;Airbnb;SF Bay Area;Hospitality;6455;Post-IPO;United States
57;Atlassian;Sydney;Tech;556;Post-IPO;Australia
58;SiriusXM;New York City;Media;532;Post-IPO;United States
59;UpGrad;Mumbai;Education;178;Unknown;India
60;Loft;Sao Paulo;Real Estate;399;Unknown;Brazil
61;Embark Trucks;SF Bay Area;Transportation;290;Post-IPO;United States
62;Lendi;Sydney;Real Estate;161;Unknown;Australia
63;UserTesting;SF Bay Area;Marketing;125;Acquired;United States
64;Airbnb;SF Bay Area;Hospitality;6463;Post-IPO;United States
65;Atlassian;Sydney;Tech;564;Post-IPO;Australia
66;SiriusXM;New York City;Media;540;Post-IPO;United States
67;UpGrad;Mumbai;Education;186;Unknown;India
68;Loft;Sao Paulo;Real Estate;407;Unknown;Brazil
69;Embark Trucks;SF Bay Area;Transportation;298;Post-IPO;United States
70;Lendi;Sydney;Real Estate;169;Unknown;Australia
71;UserTesting;SF Bay Area;Marketing;133;Acquired;United States
72;Airbnb;SF Bay Area;Hospitality;6471;Post-IPO;United States
73;Atlassian;Sydney;Tech;572;Post-IPO;Australia
74;SiriusXM;New York City;Media;548;Post-IPO;United States
75;UpGrad;Mumbai;Education;194;Unknown;India
76;Loft;Sao Paulo;Real Estate;415;Unknown;Brazil
77;Embark Trucks;SF Bay Area;Transportation;306;Post-IPO;United States
78;Lendi;Sydney;Real Estate;177;Unknown;Australia
79;UserTesting;SF Bay Area;Marketing;141;Acquired;United States
80;Airbnb;SF Bay Area;Hospitality;6479;Post-IPO;United States
81;Atlassian;Sydney;Tech;580;Post-IPO;Australia
82;SiriusXM;New York City;Media;556;Post-IPO;United States
83;UpGrad;Mumbai;Education;202;Unknown;India
84;Loft;Sao Paulo;Real Estate;423;Unknown;Brazil
85;Embark Trucks;SF Bay Area;Transportation;314;Post-IPO;United States
86;Lendi;Sydney;Real Estate;185;Unknown;Australia
87;UserTesting;SF Bay Area;Marketing;149;Acquired;United States
88;Airbnb;SF Bay Area;Hospitality;6487;Post-IPO;United States
89;Atlassian;Sydney;Tech;588;Post-IPO;Australia
90;SiriusXM;New York City;Media;564;Post-IPO;United States
91;UpGrad;Mumbai;Education;210;Unknown;India
92;Loft;Sao Paulo;Real Estate;431;Unknown;Brazil
93;Embark Trucks;SF Bay Area;Transportation;322;Post-IPO;United States
94;Lendi;Sydney;Real Estate;193;Unknown;Australia
95;UserTesting;SF Bay Area;Marketing;157;Acquired;United States
96;Airbnb;SF Bay Area;Hospitality;6495;Post-IPO;United States
97;Atlassian;Sydney;Tech;596;Post-IPO;Australia
98;SiriusXM;New York City;Media;572;Post-IPO;United States
99;UpGrad;Mumbai;Education;218;Unknown;India
100;Loft;Sao Paulo;Real Estate;439;Unknown;Brazil
101;Embark Trucks;SF Bay Area;Transportation;230;Post-IPO;United States
102;Lendi;Sydney;Real Estate;101;Unknown;Australia
103;UserTesting;SF Bay Area;Marketing;65;Acquired;United States
104;Airbnb;SF Bay Area;Hospitality;6403;Post-IPO;United States
105;Atlassian;Sydney;Tech;504;Post-IPO;Australia
106;SiriusXM;New York City;Media;480;Post-IPO;United States
107;UpGrad;Mumbai;Education;126;Unknown;India
108;Loft;Sao Paulo;Real Estate;347;Unknown;Brazil
109;Embark Trucks;SF Bay Area;Transportation;238;Post-IPO;United States
110;Lendi;Sydney;Real Estate;109;Unknown;Australia
111;UserTesting;SF Bay Area;Marketing;73;Acquired;United States
112;Airbnb;SF Bay Area;Hospitality;6411;Post-IPO;United States
113;Atlassian;Sydney;Tech;512;Post-IPO;Australia
114;SiriusXM;New York City;Media;488;Post-IPO;United States
115;UpGrad;Mumbai;Education;134;Unknown;India
116;Loft;Sao Paulo;Real Estate;355;Unknown;Brazil
117;Embark Trucks;SF Bay Area;Transportation;246;Post-IPO;United States
118;Lendi;Sydney;Real Estate;117;Unknown;Australia
119;UserTesting;SF Bay Area;Marketing;81;Acquired;United States
120;Airbnb;SF Bay Area;Hospitality;6419;Post-IPO;United States
121;Atlassian;Sydney;Tech;520;Post-IPO;Australia
122;SiriusXM;New York City;Media;496;Post-IPO;United States
123;UpGrad;Mumbai;Education;142;Unknown;India
124;Loft;Sao Paulo;Real Estate;363;Unknown;Brazil
125;Embark Trucks;SF Bay Area;Transportation;254;Post-IPO;United States
126;Lendi;Sydney;Real Estate;125;Unknown;Australia
127;UserTesting;SF Bay Area;Marketing;89;Acquired;United States
128;Airbnb;SF Bay Area;Hospitality;6427;Post-IPO;United States
129;Atlassian;Sydney;Tech;528;Post-IPO;Australia
130;SiriusXM;New York City;Media;504;Post-IPO;United States
131;UpGrad;Mumbai;Education;150;Unknown;India
132;Loft;Sao Paulo;Real Estate;371;Unknown;Brazil
133;Embark Trucks;SF Bay Area;Transportation;262;Post-IPO;United States
134;Lendi;Sydney;Real Estate;133;Unknown;Australia
135;UserTesting;SF Bay Area;Marketing;97;Acquired;United States
136;Airbnb;SF Bay Area;Hospitality;6435;Post-IPO;United States
137;Atlassian;Sydney;Tech;536;Post-IPO;Australia
138;SiriusXM;New York City;Media;512;Post-IPO;United States
139;UpGrad;Mumbai;Education;158;Unknown;India
140;Loft;Sao Paulo;Real Estate;379;Unknown;Brazil
141;Embark Trucks;SF Bay Area;Transportation;270;Post-IPO;United States
142;Lendi;Sydney;Real Estate;141;Unknown;Australia
143;UserTesting;SF Bay Area;Marketing;105;Acquired;United States
144;Airbnb;SF Bay Area;Hospitality;6443;Post-IPO;United States
145;Atlassian;Sydney;Tech;544;Post-IPO;Australia
146;SiriusXM;New York City;Media;520;Post-IPO;United States
147;UpGrad;Mumbai;Education;166;Unknown;India
148;Loft;Sao Paulo;Real Estate;387;Unknown;Brazil
149;Embark Trucks;SF Bay Area;Transportation;278;Post-IPO;United States
150;Lendi;Sydney;Real Estate;149;Unknown;Australia
151;UserTesting;SF Bay Area;Marketing;113;Acquired;United States
152;Airbnb;SF Bay Area;Hospitality;6451;Post-IPO;United States
153;Atlassian;Sydney;Tech;552;Post-IPO;Australia
154;SiriusXM;New York City;Media;528;Post-IPO;United States
155;UpGrad;Mumbai;Education;174;Unknown;India
156;Loft;Sao Paulo;Real Estate;395;Unknown;Brazil
157;Embark Trucks;SF Bay Area;Transportation;286;Post-IPO;United States
158;Lendi;Sydney;Real Estate;157;Unknown;Australia
159;UserTesting;SF Bay Area;Marketing;121;Acquired;United States
160;Airbnb;SF Bay Area;Hospitality;6459;Post-IPO;United States
161;Atlassian;Sydney;Tech;560;Post-IPO;Australia
162;SiriusXM;New York City;Media;536;Post-IPO;United States
163;UpGrad;Mumbai;Education;182;Unknown;India
164;Loft;Sao Paulo;Real Estate;403;Unknown;Brazil
165;Embark Trucks;SF Bay Area;Transportation;294;Post-IPO;United States
166;Lendi;Sydney;Real Estate;165;Unknown;Australia
167;UserTesting;SF Bay Area;Marketing;129;Acquired;United States
168;Airbnb;SF Bay Area;Hospitality;6467;Post-IPO;United States
169;Atlassian;Sydney;Tech;568;Post-IPO;Australia
170;SiriusXM;New York City;Media;544;Post-IPO;United States
171;UpGrad;Mumbai;Education;190;Unknown;India
172;Loft;Sao Paulo;Real Estate;411;Unknown;Brazil
173;Embark Trucks;SF Bay Area;Transportation;302;Post-IPO;United States
174;Lendi;Sydney;Real Estate;173;Unknown;Australia
175;UserTesting;SF Bay Area;Marketing;137;Acquired;United States
176;Airbnb;SF Bay Area;Hospitality;6475;Post-IPO;United States
177;Atlassian;Sydney;Tech;576;Post-IPO;Australia
178;SiriusXM;New York City;Media;552;Post-IPO;United States
179;UpGrad;Mumbai;Education;198;Unknown;India
180;Loft;Sao Paulo;Real Estate;419;Unknown;Brazil
181;Embark Trucks;SF Bay Area;Transportation;310;Post-IPO;United States
182;Lendi;Sydney;Real Estate;181;Unknown;Australia
183;UserTesting;SF Bay Area;Marketing;145;Acquired;United States
184;Airbnb;SF Bay Area;Hospitality;6483;Post-IPO;United States
185;Atlassian;Sydney;Tech;584;Post-IPO;Australia
186;SiriusXM;New York City;Media;560;Post-IPO;United States
187;UpGrad;Mumbai;Education;206;Unknown;India
188;Loft;Sao Paulo;Real Estate;427;Unknown;Brazil
189;Embark Trucks;SF Bay Area;Transportation;318;Post-IPO;United States
190;Lendi;Sydney;Real Estate;189;Unknown;Australia
191;UserTesting;SF Bay Area;Marketing;153;Acquired;United States
192;Airbnb;SF Bay Area;Hospitality;6491;Post-IPO;United States
193;Atlassian;Sydney;Tech;592;Post-IPO;Australia
194;SiriusXM;New York City;Media;568;Post-IPO;United States
195;UpGrad;Mumbai;Education;214;Unknown;India
196;Loft;Sao Paulo;Real Estate;435;Unknown;Brazil
197;Embark Trucks;SF Bay Area;Transportation;326;Post-IPO;United States
198;Lendi;Sydney;Real Estate;197;Unknown;Australia
199;UserTesting;SF Bay Area;Marketing;161;Acquired;United States
200;Airbnb;SF Bay Area;Hospitality;6499;Post-IPO;United States
201;Atlassian;Sydney;Tech;500;Post-IPO;Australia
202;SiriusXM;New York City;Media;476;Post-IPO;United States
203;UpGrad;Mumbai;Education;122;Unknown;India
204;Loft;Sao Paulo;Real Estate;343;Unknown;Brazil
205;Embark Trucks;SF Bay Area;Transportation;234;Post-IPO;United States
206;Lendi;Sydney;Real Estate;105;Unknown;Australia
207;UserTesting;SF Bay Area;Marketing;69;Acquired;United States
208;Airbnb;SF Bay Area;Hospitality;6407;Post-IPO;United States
209;Atlassian;Sydney;Tech;508;Post-IPO;Australia
210;SiriusXM;New York City;Media;484;Post-IPO;United States
211;UpGrad;Mumbai;Education;130;Unknown;India
212;Loft;Sao Paulo;Real Estate;351;Unknown;Brazil
213;Embark Trucks;SF Bay Area;Transportation;242;Post-IPO;United States
214;Lendi;Sydney;Real Estate;113;Unknown;Australia
215;UserTesting;SF Bay Area;Marketing;77;Acquired;United States
216;Airbnb;SF Bay Area;Hospitality;6415;Post-IPO;United States
217;Atlassian;Sydney;Tech;516;Post-IPO;Australia
218;SiriusXM;New York City;Media;492;Post-IPO;United States
219;UpGrad;Mumbai;Education;138;Unknown;India
220;Loft;Sao Paulo;Real Estate;359;Unknown;Brazil
221;Embark Trucks;SF Bay Area;Transportation;250;Post-IPO;United States
222;Lendi;Sydney;Real Estate;121;Unknown;Australia
223;UserTesting;SF Bay Area;Marketing;85;Acquired;United States
224;Airbnb;SF Bay Area;Hospitality;6423;Post-IPO;United States
225;Atlassian;Sydney;Tech;524;Post-IPO;Australia
226;SiriusXM;New York City;Media;500;Post-IPO;United States
227;UpGrad;Mumbai;Education;146;Unknown;India
228;Loft;Sao Paulo;Real Estate;367;Unknown;Brazil
229;Embark Trucks;SF Bay Area;Transportation;258;Post-IPO;United States
230;Lendi;Sydney;Real Estate;129;Unknown;Australia
231;UserTesting;SF Bay Area;Marketing;93;Acquired;United States
232;Airbnb;SF Bay Area;Hospitality;6431;Post-IPO;United States
233;Atlassian;Sydney;Tech;532;Post-IPO;Australia
234;SiriusXM;New York City;Media;508;Post-IPO;United States
235;UpGrad;Mumbai;Education;154;Unknown;India
236;Loft;Sao Paulo;Real Estate;375;Unknown;Brazil
237;Embark Trucks;SF Bay Area;Transportation;266;Post-IPO;United States
238;Lendi;Sydney;Real Estate;137;Unknown;Australia
239;UserTesting;SF Bay Area;Marketing;101;Acquired;United States
240;Airbnb;SF Bay Area;Hospitality;6439;Post-IPO;United States
241;Atlassian;Sydney;Tech;540;Post-IPO;Australia
242;SiriusXM;New York City;Media;516;Post-IPO;United States
243;UpGrad;Mumbai;Education;162;Unknown;India
244;Loft;Sao Paulo;Real Estate;383;Unknown;Brazil
245;Embark Trucks;SF Bay Area;Transportation;274;Post-IPO;United States
246;Lendi;Sydney;Real Estate;145;Unknown;Australia
247;UserTesting;SF Bay Area;Marketing;109;Acquired;United States
248;Airbnb;SF Bay Area;Hospitality;6447;Post-IPO;United States
249;Atlassian;Sydney;Tech;548;Post-IPO;Australia
250;SiriusXM;New York City;Media;524;Post-IPO;United States
251;UpGrad;Mumbai;Education;170;Unknown;India
252;Loft;Sao Paulo;Real Estate;391;Unknown;Brazil
253;Embark Trucks;SF Bay Area;Transportation;282;Post-IPO;United States
254;Lendi;Sydney;Real Estate;153;Unknown;Australia
255;UserTesting;SF Bay Area;Marketing;117;Acquired;United States
256;Airbnb;SF Bay Area;Hospitality;6455;Post-IPO;United States
257;Atlassian;Sydney;Tech;556;Post-IPO;Australia
258;SiriusXM;New York City;Media;532;Post-IPO;United States
259;UpGrad;Mumbai;Education;178;Unknown;India
260;Loft;Sao Paulo;Real Estate;399;Unknown;Brazil
261;Embark Trucks;SF Bay Area;Transportation;290;Post-IPO;United States
262;Lendi;Sydney;Real Estate;161;Unknown;Australia
263;UserTesting;SF Bay Area;Marketing;125;Acquired;United States
264;Airbnb;SF Bay Area;Hospitality;6463;Post-IPO;United States
265;Atlassian;Sydney;Tech;564;Post-IPO;Australia
266;SiriusXM;New York City;Media;540;Post-IPO;United States
267;UpGrad;Mumbai;Education;186;Unknown;India
268;Loft;Sao Paulo;Real Estate;407;Unknown;Brazil
269;Embark Trucks;SF Bay Area;Transportation;298;Post-IPO;United States
270;Lendi;Sydney;Real Estate;169;Unknown;Australia
271;UserTesting;SF Bay Area;Marketing;133;Acquired;United States
272;Airbnb;SF Bay Area;Hospitality;6471;Post-IPO;United States
273;Atlassian;Sydney;Tech;572;Post-IPO;Australia
274;SiriusXM;New York City;Media;548;Post-IPO;United States
275;UpGrad;Mumbai;Education;194;Unknown;India
276;Loft;Sao Paulo;Real Estate;415;Unknown;Brazil
277;Embark Trucks;SF Bay Area;Transportation;306;Post-IPO;United States
278;Lendi;Sydney;Real Estate;177;Unknown;Australia
279;UserTesting;SF Bay Area;Marketing;141;Acquired;United States
280;Airbnb;SF Bay Area;Hospitality;6479;Post-IPO;United States
281;Atlassian;Sydney;Tech;580;Post-IPO;Australia
282;SiriusXM;New York City;Media;556;Post-IPO;United States
283;UpGrad;Mumbai;Education;202;Unknown;India
284;Loft;Sao Paulo;Real Estate;423;Unknown;Brazil
285;Embark Trucks;SF Bay Area;Transportation;314;Post-IPO;United States
286;Lendi;Sydney;Real Estate;185;Unknown;Australia
287;UserTesting;SF Bay Area;Marketing;149;Acquired;United States
288;Airbnb;SF Bay Area;Hospitality;6487;Post-IPO;United States
289;Atlassian;Sydney;Tech;588;Post-IPO;Australia
290;SiriusXM;New York City;Media;564;Post-IPO;United States
291;UpGrad;Mumbai;Education;210;Unknown;India
292;Loft;Sao Paulo;Real Estate;431;Unknown;Brazil
293;Embark Trucks;SF Bay Area;Transportation;322;Post-IPO;United States
294;Lendi;Sydney;Real Estate;193;Unknown;Australia
295;UserTesting;SF Bay Area;Marketing;157;Acquired;United States
296;Airbnb;SF Bay Area;Hospitality;6495;Post-IPO;United States
297;Atlassian;Sydney;Tech;596;Post-IPO;Australia
298;SiriusXM;New York City;Media;572;Post-IPO;United States
299;UpGrad;Mumbai;Education;218;Unknown;India
300;Loft;Sao Paulo;Real Estate;439;Unknown;Brazil
301;Embark Trucks;SF Bay Area;Transportation;230;Post-IPO;United States
302;Lendi;Sydney;Real Estate;101;Unknown;Australia
303;UserTesting;SF Bay Area;Marketing;65;Acquired;United States
304;Airbnb;SF Bay Area;Hospitality;6403;Post-IPO;United States
305;Atlassian;Sydney;Tech;504;Post-IPO;Australia
306;SiriusXM;New York City;Media;480;Post-IPO;United States
307;UpGrad;Mumbai;Education;126;Unknown;India
308;Loft;Sao Paulo;Real Estate;347;Unknown;Brazil
309;Embark Trucks;SF Bay Area;Transportation;238;Post-IPO;United States
310;Lendi;Sydney;Real Estate;109;Unknown;Australia
311;UserTesting;SF Bay Area;Marketing;73;Acquired;United States
312;Airbnb;SF Bay Area;Hospitality;6411;Post-IPO;United States
313;Atlassian;Sydney;Tech;512;Post-IPO;Australia
314;SiriusXM;New York City;Media;488;Post-IPO;United States
315;UpGrad;Mumbai;Education;134;Unknown;India
316;Loft;Sao Paulo;Real Estate;355;Unknown;Brazil
317;Embark Trucks;SF Bay Area;Transportation;246;Post-IPO;United States
318;Lendi;Sydney;Real Estate;117;Unknown;Australia
319;UserTesting;SF Bay Area;Marketing;81;Acquired;United States
320;Airbnb;SF Bay Area;Hospitality;6419;Post-IPO;United States
321;Atlassian;Sydney;Tech;520;Post-IPO;Australia
322;SiriusXM;New York City;Media;496;Post-IPO;United States
323;UpGrad;Mumbai;Education;142;Unknown;India
324;Loft;Sao Paulo;Real Estate;363;Unknown;Brazil
325;Embark Trucks;SF Bay Area;Transportation;254;Post-IPO;United States
326;Lendi;Sydney;Real Estate;125;Unknown;Australia
327;UserTesting;SF Bay Area;Marketing;89;Acquired;United States
328;Airbnb;SF Bay Area;Hospitality;6427;Post-IPO;United States
329;Atlassian;Sydney;Tech;528;Post-IPO;Australia
330;SiriusXM;New York City;Media;504;Post-IPO;United States
331;UpGrad;Mumbai;Education;150;Unknown;India
332;Loft;Sao Paulo;Real Estate;371;Unknown;Brazil
333;Embark Trucks;SF Bay Area;Transportation;262;Post-IPO;United States
334;Lendi;Sydney;Real Estate;133;Unknown;Australia
335;UserTesting;SF Bay Area;Marketing;97;Acquired;United States
336;Airbnb;SF Bay Area;Hospitality;6435;Post-IPO;United States
337;Atlassian;Sydney;Tech;536;Post-IPO;Australia
338;SiriusXM;New York City;Media;512;Post-IPO;United States
339;UpGrad;Mumbai;Education;158;Unknown;India
340;Loft;Sao Paulo;Real Estate;379;Unknown;Brazil
341;Embark Trucks;SF Bay Area;Transportation;270;Post-IPO;United States
342;Lendi;Sydney;Real Estate;141;Unknown;Australia
343;UserTesting;SF Bay Area;Marketing;105;Acquired;United States
344;Airbnb;SF Bay Area;Hospitality;6443;Post-IPO;United States
345;Atlassian;Sydney;Tech;544;Post-IPO;Australia
346;SiriusXM;New York City;Media;520;Post-IPO;United States
347;UpGrad;Mumbai;Education;166;Unknown;India
348;Loft;Sao Paulo;Real Estate;387;Unknown;Brazil
349;Embark Trucks;SF Bay Area;Transportation;278;Post-IPO;United States
350;Lendi;Sydney;Real Estate;149;Unknown;Australia
351;UserTesting;SF Bay Area;Marketing;113;Acquired;United States
352;Airbnb;SF Bay Area;Hospitality;6451;Post-IPO;United States
353;Atlassian;Sydney;Tech;552;Post-IPO;Australia
354;SiriusXM;New York City;Media;528;Post-IPO;United States
355;UpGrad;Mumbai;Education;174;Unknown;India
356;Loft;Sao Paulo;Real Estate;395;Unknown;Brazil
357;Embark Trucks;SF Bay Area;Transportation;286;Post-IPO;United States
358;Lendi;Sydney;Real Estate;157;Unknown;Australia
359;UserTesting;SF Bay Area;Marketing;121;Acquired;United States
360;Airbnb;SF Bay Area;Hospitality;6459;Post-IPO;United States
361;Atlassian;Sydney;Tech;560;Post-IPO;Australia
362;SiriusXM;New York City;Media;536;Post-IPO;United States
363;UpGrad;Mumbai;Education;182;Unknown;India
364;Loft;Sao Paulo;Real Estate;403;Unknown;Brazil
365;Embark Trucks;SF Bay Area;Transportation;294;Post-IPO;United States
366;Lendi;Sydney;Real Estate;165;Unknown;Australia
367;UserTesting;SF Bay Area;Marketing;129;Acquired;United States
368;Airbnb;SF Bay Area;Hospitality;6467;Post-IPO;United States
369;Atlassian;Sydney;Tech;568;Post-IPO;Australia
370;SiriusXM;New York City;Media;544;Post-IPO;United States
371;UpGrad;Mumbai;Education;190;Unknown;India
372;Loft;Sao Paulo;Real Estate;411;Unknown;Brazil
373;Embark Trucks;SF Bay Area;Transportation;302;Post-IPO;United States
374;Lendi;Sydney;Real Estate;173;Unknown;Australia
375;UserTesting;SF Bay Area;Marketing;137;Acquired;United States
376;Airbnb;SF Bay Area;Hospitality;6475;Post-IPO;United States
377;Atlassian;Sydney;Tech;576;Post-IPO;Australia
378;SiriusXM;New York City;Media;552;Post-IPO;United States
379;UpGrad;Mumbai;Education;198;Unknown;India
380;Loft;Sao Paulo;Real Estate;419;Unknown;Brazil
381;Embark Trucks;SF Bay Area;Transportation;310;Post-IPO;United States
382;Lendi;Sydney;Real Estate;181;Unknown;Australia
383;UserTesting;SF Bay Area;Marketing;145;Acquired;United States
384;Airbnb;SF Bay Area;Hospitality;6483;Post-IPO;United States
385;Atlassian;Sydney;Tech;584;Post-IPO;Australia
386;SiriusXM;New York City;Media;560;Post-IPO;United States
387;UpGrad;Mumbai;Education;206;Unknown;India
388;Loft;Sao Paulo;Real Estate;427;Unknown;Brazil
389;Embark Trucks;SF Bay Area;Transportation;318;Post-IPO;United States
390;Lendi;Sydney;Real Estate;189;Unknown;Australia
391;UserTesting;SF Bay Area;Marketing;153;Acquired;United States
392;Airbnb;SF Bay Area;Hospitality;6491;Post-IPO;United States
393;Atlassian;Sydney;Tech;592;Post-IPO;Australia
394;SiriusXM;New York City;Media;568;Post-IPO;United States
395;UpGrad;Mumbai;Education;214;Unknown;India
396;Loft;Sao Paulo;Real Estate;435;Unknown;Brazil
397;Embark Trucks;SF Bay Area;Transportation;326;Post-IPO;United States
398;Lendi;Sydney;Real Estate;197;Unknown;Australia
399;UserTesting;SF Bay Area;Marketing;161;Acquired;United States
400;Airbnb;SF Bay Area;Hospitality;6499;Post-IPO;United States
401;Atlassian;Sydney;Tech;500;Post-IPO;Australia
402;SiriusXM;New York City;Media;476;Post-IPO;United States
403;UpGrad;Mumbai;Education;122;Unknown;India
404;Loft;Sao Paulo;Real Estate;343;Unknown;Brazil
405;Embark Trucks;SF Bay Area;Transportation;234;Post-IPO;United States
406;Lendi;Sydney;Real Estate;105;Unknown;Australia
407;UserTesting;SF Bay Area;Marketing;69;Acquired;United States
408;Airbnb;SF Bay Area;Hospitality;6407;Post-IPO;United States
409;Atlassian;Sydney;Tech;508;Post-IPO;Australia
410;SiriusXM;New York City;Media;484;Post-IPO;United States
411;UpGrad;Mumbai;Education;130;Unknown;India
412;Loft;Sao Paulo;Real Estate;351;Unknown;Brazil
413;Embark Trucks;SF Bay Area;Transportation;242;Post-IPO;United States
414;Lendi;Sydney;Real Estate;113;Unknown;Australia
415;UserTesting;SF Bay Area;Marketing;77;Acquired;United States
416;Airbnb;SF Bay Area;Hospitality;6415;Post-IPO;United States
417;Atlassian;Sydney;Tech;516;Post-IPO;Australia
418;SiriusXM;New York City;Media;492;Post-IPO;United States
419;UpGrad;Mumbai;Education;138;Unknown;India
420;Loft;Sao Paulo;Real Estate;359;Unknown;Brazil
421;Embark Trucks;SF Bay Area;Transportation;250;Post-IPO;United States
422;Lendi;Sydney;Real Estate;121;Unknown;Australia
423;UserTesting;SF Bay Area;Marketing;85;Acquired;United States
424;Airbnb;SF Bay Area;Hospitality;6423;Post-IPO;United States
425;Atlassian;Sydney;Tech;524;Post-IPO;Australia
426;SiriusXM;New York City;Media;500;Post-IPO;United States
427;UpGrad;Mumbai;Education;146;Unknown;India
428;Loft;Sao Paulo;Real Estate;367;Unknown;Brazil
429;Embark Trucks;SF Bay Area;Transportation;258;Post-IPO;United States
430;Lendi;Sydney;Real Estate;129;Unknown;Australia
431;UserTesting;SF Bay Area;Marketing;93;Acquired;United States
432;Airbnb;SF Bay Area;Hospitality;6431;Post-IPO;United States
433;Atlassian;Sydney;Tech;532;Post-IPO;Australia
434;SiriusXM;New York City;Media;508;Post-IPO;United States
435;UpGrad;Mumbai;Education;154;Unknown;India
436;Loft;Sao Paulo;Real Estate;375;Unknown;Brazil
437;Embark Trucks;SF Bay Area;Transportation;266;Post-IPO;United States
438;Lendi;Sydney;Real Estate;137;Unknown;Australia
439;UserTesting;SF Bay Area;Marketing;101;Acquired;United States
440;Airbnb;SF Bay Area;Hospitality;6439;Post-IPO;United States
441;Atlassian;Sydney;Tech;540;Post-IPO;Australia
442;SiriusXM;New York City;Media;516;Post-IPO;United States
443;UpGrad;Mumbai;Education;162;Unknown;India
444;Loft;Sao Paulo;Real Estate;383;Unknown;Brazil
445;Embark Trucks;SF Bay Area;Transportation;274;Post-IPO;United States
446;Lendi;Sydney;Real Estate;145;Unknown;Australia
447;UserTesting;SF Bay Area;Marketing;109;Acquired;United States
448;Airbnb;SF Bay Area;Hospitality;6447;Post-IPO;United States
449;Atlassian;Sydney;Tech;548;Post-IPO;Australia
450;SiriusXM;New York City;Media;524;Post-IPO;United States
451;UpGrad;Mumbai;Education;170;Unknown;India
452;Loft;Sao Paulo;Real Estate;391;Unknown;Brazil
453;Embark Trucks;SF Bay Area;Transportation;282;Post-IPO;United States
454;Lendi;Sydney;Real Estate;153;Unknown;Australia
455;UserTesting;SF Bay Area;Marketing;117;Acquired;United States
